index,business,year_founded,category_code,country_code
0,Hamoud Boualem,1878,CAT11,DZA
1,Communauté Électrique du Bénin,1968,CAT10,BEN
2,Botswana Meat Commission,1965,CAT1,BWA
3,Air Burkina,1967,CAT2,BFA
4,Brarudi,1955,CAT9,BDI
5,Cameroon Development Corporation,1947,CAT1,CMR
6,Correios de Cabo Verde,1849,CAT16,CPV
7,Banque Internationale pour la Centrafrique,1946,CAT3,CAF
8,Cotontchad,1971,CAT1,TCD
9,Central Bank of the Comoros,1981,CAT3,COM
10,Société nationale des Chemins de fer du Congo,1889,CAT2,COD
11,Development Bank of the Central African States,1975,CAT3,COG
12,La Poste,1945,CAT16,CIV
13,Ethio-Djibouti Railways,1901,CAT2,DJI
14,Egyptian National Railways,1854,CAT2,EGY
15,Guinea Ecuatorial Airlines,1996,CAT2,GNQ
16,Asmara Brewery,1939,CAT9,ERI
17,National Bank of Ethiopia,1906,CAT3,ETH
18,BGFIBank Group,1971,CAT3,GAB
19,Halco Mining,1962,CAT15,GIN
20,Correios da Guiné-Bissau,1973,CAT16,GNB
21,KCB Group Limited,1896,CAT3,KEN
22,Central Bank of Lesotho,1978,CAT3,LSO
23,National Port Authority,1921,CAT2,LBR
24,Umma Bank,1907,CAT3,LBY
25,Air Madagascar,1962,CAT2,MDG
26,Malawi Broadcasting Corporation,1964,CAT13,MWI
27,Office de Radiodiffusion-Télévision du Mali,1957,CAT13,MLI
28,Central Bank of Mauritania,1973,CAT3,MRT
29,Mauritius Post,1772,CAT16,MUS
30,Attijariwafa Bank,1904,CAT3,MAR
31,Beira Railroad Corporation,1892,CAT2,MOZ
32,NamPost,1814,CAT16,NAM
33,Office of Radio and Television of Niger,1960,CAT13,NER
34,First Bank of Nigeria,1894,CAT3,NGA
35,National Post Office,1922,CAT16,RWA
36,Central Bank of São Tomé and Príncipe,1975,CAT3,STP
37,Dakar–Niger Railway,1924,CAT2,SEN
38,Air Seychelles,1977,CAT2,SYC
39,Rokel Commercial Bank,1917,CAT3,SLE
40,Radio Mogadishu,1943,CAT13,SOM
41,Premier FMCG,1820,CAT12,ZAF
42,Ivory Bank,1994,CAT3,SSD
43,Bank of Khartoum,1913,CAT3,SDN
44,Swazi Rail,1963,CAT2,SWZ
45,Tanzania Breweries Limited,1933,CAT9,TZA
46,La Poste du Togo,1883,CAT16,TGO
47,La Poste Tunisienne,1847,CAT16,TUN
48,Stanbic Bank Uganda Limited,1906,CAT3,UGA
49,ZamPost,1896,CAT16,ZMB
50,Standard Chartered Zimbabwe,1892,CAT3,ZWE
51,Spinzar Cotton Company,1930,CAT1,AFG
52,Azerbaijan Caspian Shipping Company,1858,CAT2,AZE
53,BMMI,1883,CAT17,BHR
54,M. M. Ispahani Limited,1820,CAT11,BGD
55,Tashi Group,1959,CAT2,BTN
56,Hua Ho Department Store,1947,CAT17,BRN
57,National Bank of Cambodia,1954,CAT3,KHM
58,Ma Yu Ching's Bucket Chicken House,1153,CAT4,CHN
59,Bank of Georgia,1903,CAT3,GEO
60,Wadia Group,1736,CAT12,IND
61,Pindad,1808,CAT8,IDN
62,North Oil Company,1928,CAT10,IRQ
63,Café Abu Salem,1914,CAT4,ISR
64,Kongō Gumi,578,CAT6,JPN
65,Arab Bank,1930,CAT3,JOR
66,Bogatyr Access Komir,1913,CAT15,KAZ
67,M.H. Alshaya Co.,1890,CAT17,KWT
68,Electricite du Laos,1959,CAT10,LAO
69,Bank Audi,1830,CAT3,LBN
70,Pos Malaysia,1800,CAT16,MYS
71,Mongolian National Broadcaster,1931,CAT13,MNG
72,Myanmar National Airlines,1948,CAT2,MMR
73,Nepal Bank Limited,1937,CAT3,NPL
74,Kim Chong-t'ae Electric Locomotive Works,1945,CAT2,PRK
75,Petroleum Development Oman,1937,CAT10,OMN
76,House of Habib,1841,CAT5,PAK
77,Destileria Limtuaco,1853,CAT9,PHL
78,Salam International Investment Limited,1952,CAT5,QAT
79,Petrodvorets Watch Factory,1721,CAT7,RUS
80,House of Alireza,1845,CAT6,SAU
81,Singapore Post,1819,CAT16,SGP
82,KT Corporation,1885,CAT18,KOR
83,George Steuart Group,1835,CAT11,LKA
84,Bakdash,1885,CAT4,SYR
85,Bank of Taiwan,1897,CAT3,TWN
86,B.Grimm Group,1878,CAT5,THA
87,Liwa Chemicals,1939,CAT12,ARE
88,Tashkent Aviation Production Association,1932,CAT12,UZB
89,Vietnam Railways,1881,CAT2,VNM
90,Yemenia Airways,1962,CAT2,YEM
91,ALBtelecom,1912,CAT18,ALB
92,Andbank,1930,CAT3,AND
93,Yerevan Ararat Brandy-Wine-Vodka Factory,1877,CAT9,ARM
94,St. Peter Stifts Kulinarium,803,CAT4,AUT
95,Olivaria Brewery,1864,CAT9,BLR
96,Affligem Brewery,1074,CAT9,BEL
97,Sarajevska Pivara,1864,CAT9,BIH
98,Arsenal AD,1878,CAT8,BGR
99,Kraljevica Shipyard,1729,CAT12,HRV
100,Bank of Cyprus,1899,CAT3,CYP
101,Pivovar Broumov,1348,CAT9,CZE
102,Munke Mølle,1135,CAT12,DNK
103,The Royal Mint,886,CAT12,GBR
104,Raeapteek,1422,CAT14,EST
105,Fiskars,1649,CAT7,FIN
106,Monnaie de Paris ,864,CAT12,FRA
107,Staffelter Hof Winery,862,CAT9,DEU
108,Piraeus Bank,1606,CAT3,GRC
109,Zwack,1790,CAT9,HUN
110,Íslandspóstur,1776,CAT16,ISL
111,Sean's Bar,900,CAT4,IRL
112,Marinelli Bell Foundry,1040,CAT12,ITA
113,Meridian Corporation,1999,CAT13,XK 
114,Cēsu Alus,1590,CAT9,LVA
115,National Bank of Liechtenstein,1861,CAT3,LIE
116,Gubernija,1665,CAT9,LTU
117,Mousel,1511,CAT9,LUX
118,HSBC Bank Malta,1882,CAT3,MLT
119,Pošta Crne Gore,1841,CAT16,MNE
120,The Brand Brewery,1340,CAT9,NLD
121,Tutunski kombinat Prilep,1873,CAT7,MKD
122,Posten Norge,1647,CAT16,NOR
123,Bochnia Salt Mine,1248,CAT15,POL
124,CTT-Correios de Portugal SA,1520,CAT16,PRT
125,Ursus Breweries,1878,CAT9,ROU
126,Apatin Brewery,1756,CAT9,SRB
127,Kremnica Mint,1328,CAT12,SVK
128,Gostilna Gastuž,1467,CAT19,SVN
129,Casa de Ganaderos,1218,CAT1,ESP
130,Skyllbergs bruk,1346,CAT12,SWE
131,Gasthof Sternen,1230,CAT19,CHE
132,Çemberlitaş Hamamı,1584,CAT19,TUR
133,Drohobych salt plant,1250,CAT12,UKR
134,Mount Gay Rum,1703,CAT9,BRB
135,Belize Bank,1902,CAT3,BLZ
136,Hudson's Bay Company,1670,CAT17,CAN
137,Florida Ice and Farm Company,1908,CAT9,CRI
138,Cubana de Aviación,1929,CAT2,CUB
139,The Chronicle (Dominica),1909,CAT13,DMA
140,HSBC El Salvador,1891,CAT3,SLV
141,Corporación Multi Inversiones,1920,CAT11,GTM
142,Rhum Barbancourt,1862,CAT9,HTI
143,National Railroad of Honduras,1870,CAT2,HND
144,Rose Hall,1770,CAT19,JAM
145,La Casa de Moneda de México,1534,CAT12,MEX
146,Flor de Caña,1890,CAT9,NIC
147,National Bank of Panama,1904,CAT3,PAN
148,1st National Bank of St Lucia,1938,CAT3,LCA
149,House of Angostura,1830,CAT9,TTO
150,Shirley Plantation,1638,CAT1,USA
151,Bank of the Province of Buenos Aires,1822,CAT3,ARG
152,Banco Nacional de Bolivia,1871,CAT3,BOL
153,Casa da Moeda do Brasil,1694,CAT12,BRA
154,Famae,1811,CAT8,CHL
155,Casa de Moneda de Colombia,1621,CAT12,COL
156,Banks DIH,1840,CAT11,GUY
157,Casa Nacional de Moneda,1565,CAT3,PER
158,Cafe Brasilero,1877,CAT4,URY
159,Hacienda Chuao,1660,CAT11,VEN
160,Australia Post,1809,CAT16,AUS
161,Bank of New Zealand,1861,CAT3,NZL
162,European Trust Company,1991,CAT3,VUT